,STATISTICAL_MURDER_FLAG,BORO,PERP_SEX,PERP_AGE_GROUP,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Hour,Month,Year
557,1,1,0.0,0.0,1.0,1.0,0.0,1.0,16,11,2011
563,1,2,0.0,2.0,1.0,1.0,0.0,1.0,4,12,2008
564,1,0,0.0,1.0,1.0,1.0,1.0,1.0,7,12,2007
572,1,3,0.0,1.0,1.0,1.0,0.0,1.0,18,6,2021
579,1,2,0.0,1.0,1.0,2.0,0.0,1.0,20,7,2007
583,1,3,0.0,1.0,1.0,3.0,1.0,0.0,13,5,2006
601,1,0,0.0,1.0,2.0,1.0,0.0,2.0,1,3,2015
640,1,0,0.0,2.0,1.0,2.0,0.0,1.0,16,12,2011
650,1,1,0.0,1.0,1.0,0.0,0.0,1.0,23,6,2020
654,1,2,0.0,2.0,1.0,2.0,0.0,1.0,20,4,2015
673,1,1,0.0,1.0,2.0,0.0,0.0,1.0,22,6,2014
676,1,1,0.0,2.0,1.0,1.0,0.0,1.0,19,8,2021
684,1,2,0.0,3.0,0.0,3.0,0.0,2.0,20,9,2017
716,1,1,0.0,1.0,1.0,2.0,0.0,3.0,16,11,2021
740,1,3,0.0,2.0,1.0,0.0,0.0,1.0,20,1,2006
754,1,2,0.0,2.0,1.0,1.0,0.0,1.0,3,9,2014
758,1,1,0.0,2.0,1.0,2.0,0.0,1.0,15,3,2021
772,1,1,0.0,1.0,1.0,2.0,0.0,2.0,21,12,2009
774,1,1,0.0,2.0,1.0,2.0,0.0,2.0,9,9,2020
775,1,0,0.0,1.0,1.0,2.0,0.0,4.0,13,1,2009
786,1,1,0.0,2.0,1.0,1.0,0.0,2.0,1,8,2012
793,1,1,0.0,2.0,1.0,2.0,0.0,1.0,20,5,2013
794,1,2,0.0,2.0,1.0,2.0,1.0,1.0,10,9,2008
801,1,2,0.0,2.0,1.0,2.0,1.0,1.0,8,2,2007
802,1,2,0.0,2.0,1.0,0.0,1.0,1.0,11,5,2006
811,1,1,0.0,1.0,1.0,3.0,0.0,2.0,21,1,2018
812,1,2,0.0,4.0,0.0,3.0,1.0,0.0,7,4,2012
822,1,2,0.0,1.0,1.0,0.0,0.0,2.0,5,12,2017
826,1,3,0.0,2.0,1.0,2.0,0.0,1.0,21,12,2011
830,1,4,0.0,1.0,1.0,3.0,0.0,2.0,20,4,2014
839,1,2,0.0,2.0,1.0,1.0,0.0,1.0,2,9,2012
843,1,4,0.0,2.0,4.0,3.0,0.0,0.0,18,4,2006
853,1,2,0.0,2.0,1.0,2.0,0.0,1.0,2,4,2008
866,1,2,0.0,1.0,1.0,2.0,0.0,1.0,17,6,2011
869,1,2,0.0,1.0,1.0,1.0,0.0,1.0,21,4,2006
878,1,3,0.0,2.0,2.0,2.0,0.0,2.0,18,10,2014
885,1,1,0.0,1.0,2.0,3.0,0.0,2.0,13,6,2010
889,1,0,0.0,1.0,1.0,1.0,0.0,1.0,12,12,2016
890,1,3,0.0,2.0,1.0,1.0,0.0,1.0,2,7,2012
895,1,1,0.0,2.0,2.0,2.0,0.0,2.0,16,9,2020
899,1,2,0.0,2.0,1.0,2.0,0.0,1.0,20,6,2006
922,1,1,0.0,1.0,1.0,2.0,0.0,3.0,1,7,2019
926,1,0,0.0,1.0,2.0,1.0,0.0,2.0,1,4,2007
948,1,0,0.0,3.0,0.0,2.0,0.0,0.0,12,5,2012
971,1,1,0.0,1.0,1.0,2.0,0.0,1.0,18,6,2006
979,1,3,0.0,4.0,0.0,3.0,0.0,1.0,17,8,2015
980,1,2,1.0,2.0,1.0,1.0,0.0,0.0,2,7,2007
983,1,4,0.0,2.0,2.0,2.0,0.0,0.0,18,4,2008
989,1,1,0.0,2.0,1.0,2.0,0.0,1.0,4,11,2006
992,1,2,0.0,1.0,3.0,2.0,0.0,1.0,18,7,2008
994,1,2,0.0,1.0,1.0,1.0,0.0,1.0,22,8,2006
1005,1,2,0.0,2.0,1.0,2.0,1.0,1.0,16,3,2009
1019,1,0,0.0,2.0,1.0,2.0,0.0,1.0,1,7,2017
1026,1,2,0.0,2.0,2.0,3.0,0.0,1.0,11,6,2017
1035,1,1,0.0,3.0,1.0,2.0,0.0,2.0,14,6,2017
1046,1,1,0.0,0.0,1.0,1.0,0.0,1.0,3,9,2018
1050,1,2,0.0,1.0,1.0,1.0,0.0,1.0,17,12,2010
1055,1,0,0.0,2.0,1.0,1.0,0.0,1.0,19,4,2006
1060,1,0,0.0,2.0,1.0,2.0,0.0,1.0,23,9,2007
1064,1,3,0.0,1.0,2.0,2.0,0.0,3.0,6,7,2021
1085,1,1,0.0,1.0,3.0,0.0,0.0,3.0,12,9,2021
1089,1,2,0.0,2.0,1.0,1.0,0.0,1.0,21,7,2008
1093,1,1,0.0,1.0,0.0,1.0,0.0,3.0,22,3,2021
1097,1,3,0.0,2.0,0.0,1.0,0.0,0.0,21,3,2007
1117,1,3,0.0,0.0,2.0,2.0,0.0,1.0,1,1,2020
1137,1,4,1.0,2.0,4.0,1.0,0.0,1.0,19,1,2021
1138,1,1,0.0,0.0,2.0,1.0,0.0,1.0,5,7,2006
1141,1,1,0.0,1.0,2.0,2.0,0.0,2.0,3,12,2006
1142,1,0,0.0,1.0,2.0,1.0,1.0,3.0,18,3,2014
1158,1,2,1.0,2.0,1.0,2.0,0.0,3.0,18,6,2016
1178,1,1,0.0,1.0,1.0,2.0,0.0,3.0,17,9,2017
1192,1,1,0.0,1.0,3.0,2.0,0.0,3.0,13,8,2021
1202,1,1,0.0,2.0,1.0,2.0,0.0,2.0,0,1,2013
1207,1,0,0.0,1.0,3.0,1.0,1.0,3.0,20,8,2008
1223,1,1,0.0,2.0,1.0,2.0,1.0,0.0,18,4,2021
1229,1,2,0.0,1.0,1.0,1.0,1.0,1.0,11,10,2013
1241,1,2,0.0,2.0,3.0,2.0,0.0,2.0,21,5,2020
1250,1,1,0.0,2.0,2.0,2.0,0.0,1.0,18,1,2013
1251,1,0,0.0,1.0,1.0,2.0,1.0,1.0,17,7,2011
1263,1,3,0.0,0.0,1.0,1.0,0.0,1.0,21,8,2012
1266,1,0,0.0,2.0,1.0,2.0,0.0,1.0,4,11,2021
1271,1,2,0.0,2.0,1.0,3.0,0.0,1.0,3,9,2014
1281,1,0,0.0,1.0,1.0,0.0,1.0,1.0,23,5,2008
1296,1,3,0.0,2.0,1.0,2.0,0.0,1.0,18,3,2020
1298,1,2,0.0,1.0,1.0,1.0,0.0,2.0,6,8,2009
1299,1,1,0.0,2.0,1.0,2.0,0.0,2.0,16,4,2008
1308,1,0,0.0,2.0,1.0,2.0,0.0,1.0,2,6,2014
1310,1,1,0.0,2.0,4.0,2.0,0.0,1.0,22,8,2021
1329,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,4,2008
1331,1,2,0.0,1.0,1.0,0.0,1.0,1.0,23,5,2010
1344,1,3,0.0,1.0,2.0,2.0,0.0,2.0,21,10,2012
1345,1,4,0.0,0.0,1.0,3.0,0.0,2.0,20,4,2014
1358,1,2,0.0,0.0,1.0,0.0,0.0,1.0,14,1,2016
1362,1,1,0.0,2.0,3.0,2.0,0.0,2.0,4,11,2006
1363,1,0,0.0,1.0,1.0,1.0,0.0,1.0,22,9,2016
1377,1,4,0.0,1.0,1.0,2.0,0.0,2.0,22,12,2017
1379,1,1,0.0,2.0,1.0,2.0,0.0,1.0,23,7,2013
1390,1,2,0.0,1.0,1.0,2.0,0.0,1.0,21,10,2019
1409,1,1,0.0,0.0,1.0,0.0,0.0,1.0,15,7,2021
1428,1,0,0.0,1.0,1.0,2.0,1.0,1.0,1,3,2015
1429,1,2,0.0,2.0,1.0,2.0,0.0,1.0,9,1,2016
1437,1,1,0.0,2.0,2.0,3.0,0.0,2.0,4,2,2018
1439,1,4,0.0,2.0,1.0,2.0,0.0,1.0,17,9,2020
1440,1,0,0.0,0.0,2.0,1.0,0.0,1.0,22,9,2009
1448,1,2,0.0,1.0,1.0,2.0,0.0,3.0,17,12,2021
1450,1,1,0.0,4.0,2.0,3.0,1.0,1.0,12,4,2021
1457,1,0,0.0,2.0,1.0,1.0,0.0,1.0,10,5,2009
1465,1,3,0.0,3.0,4.0,2.0,1.0,4.0,9,10,2020
1468,1,2,0.0,1.0,1.0,2.0,1.0,1.0,4,11,2009
1469,1,1,0.0,1.0,2.0,1.0,0.0,2.0,3,10,2014
1473,1,2,0.0,2.0,2.0,1.0,1.0,2.0,22,7,2009
1477,1,1,0.0,0.0,1.0,2.0,1.0,1.0,4,9,2012
1480,1,1,1.0,3.0,1.0,2.0,0.0,1.0,17,12,2014
1488,1,2,0.0,1.0,1.0,2.0,0.0,1.0,7,10,2011
1497,1,2,0.0,2.0,1.0,2.0,0.0,1.0,21,6,2016
1498,1,2,0.0,1.0,1.0,2.0,0.0,1.0,5,8,2006
1499,1,1,1.0,2.0,2.0,2.0,1.0,3.0,18,2,2007
1500,1,0,0.0,2.0,1.0,2.0,0.0,1.0,2,1,2015
1501,1,2,0.0,2.0,1.0,2.0,0.0,1.0,10,5,2010
1512,1,0,0.0,2.0,1.0,2.0,0.0,1.0,19,8,2020
1527,1,2,0.0,1.0,1.0,3.0,0.0,1.0,19,9,2007
1529,1,1,0.0,2.0,0.0,1.0,0.0,1.0,15,2,2012
1547,1,2,0.0,2.0,1.0,2.0,0.0,1.0,19,8,2016
1549,1,2,0.0,2.0,2.0,2.0,0.0,1.0,16,8,2009
1557,1,2,0.0,2.0,1.0,2.0,1.0,1.0,18,3,2008
1568,1,0,0.0,1.0,1.0,2.0,0.0,1.0,20,10,2008
1569,1,3,0.0,1.0,1.0,2.0,0.0,1.0,4,10,2010
1577,1,1,0.0,1.0,1.0,2.0,0.0,2.0,18,12,2009
1583,1,1,0.0,1.0,3.0,1.0,0.0,1.0,3,8,2011
1592,1,1,0.0,3.0,1.0,2.0,1.0,1.0,12,10,2015
1606,1,2,0.0,2.0,1.0,2.0,0.0,1.0,1,8,2020
1610,1,3,0.0,1.0,1.0,2.0,0.0,1.0,3,8,2020
1616,1,1,0.0,1.0,3.0,2.0,0.0,2.0,3,9,2006
1620,1,1,0.0,1.0,1.0,2.0,1.0,1.0,0,12,2014
1645,1,1,0.0,1.0,1.0,1.0,0.0,1.0,22,1,2015
1658,1,2,0.0,1.0,4.0,0.0,1.0,0.0,1,3,2009
1677,1,2,0.0,0.0,2.0,1.0,0.0,3.0,3,10,2017
1680,1,3,0.0,2.0,1.0,2.0,0.0,1.0,3,8,2008
1687,1,2,0.0,1.0,1.0,1.0,0.0,1.0,19,11,2006
1688,1,0,0.0,3.0,4.0,3.0,1.0,4.0,17,9,2014
1692,1,2,0.0,1.0,1.0,2.0,0.0,1.0,17,10,2013
1708,1,2,0.0,3.0,1.0,2.0,0.0,1.0,20,5,2018
1710,1,0,0.0,2.0,2.0,2.0,1.0,2.0,1,11,2013
1721,1,2,0.0,1.0,1.0,3.0,1.0,1.0,23,5,2008
1729,1,3,0.0,3.0,0.0,2.0,1.0,0.0,15,7,2009
1751,1,1,0.0,0.0,3.0,2.0,0.0,3.0,9,8,2021
1761,1,2,0.0,1.0,1.0,2.0,0.0,1.0,18,11,2011
1762,1,1,0.0,2.0,1.0,1.0,0.0,1.0,22,1,2015
1768,1,4,0.0,2.0,3.0,2.0,0.0,1.0,2,5,2015
1773,1,2,0.0,1.0,1.0,1.0,0.0,1.0,20,11,2007
1781,1,4,0.0,2.0,1.0,1.0,0.0,3.0,20,9,2014
1783,1,1,0.0,2.0,1.0,2.0,0.0,1.0,0,5,2008
1787,1,1,0.0,0.0,2.0,1.0,0.0,1.0,2,8,2007
1827,1,2,0.0,1.0,2.0,1.0,0.0,2.0,19,1,2012
1828,1,1,0.0,2.0,3.0,2.0,0.0,1.0,14,10,2011
1851,1,2,0.0,3.0,1.0,3.0,0.0,1.0,22,6,2006
1852,1,2,0.0,1.0,1.0,1.0,0.0,1.0,1,3,2021
1855,1,1,0.0,2.0,1.0,2.0,0.0,1.0,18,4,2021
1860,1,1,0.0,2.0,4.0,2.0,0.0,2.0,2,12,2007
1868,1,0,0.0,0.0,1.0,1.0,0.0,3.0,10,7,2008
1869,1,2,0.0,2.0,1.0,2.0,0.0,1.0,18,6,2010
1871,1,3,0.0,0.0,1.0,2.0,0.0,1.0,23,5,2007
1874,1,3,0.0,1.0,2.0,2.0,0.0,2.0,19,4,2008
1885,1,0,0.0,2.0,1.0,2.0,0.0,1.0,16,5,2017
1891,1,3,0.0,3.0,0.0,4.0,1.0,0.0,14,9,2008
1903,1,1,0.0,2.0,1.0,2.0,0.0,2.0,0,5,2006
1904,1,4,0.0,1.0,1.0,4.0,1.0,1.0,11,7,2018
1911,1,2,0.0,0.0,3.0,1.0,0.0,2.0,0,7,2008
1913,1,3,0.0,2.0,1.0,2.0,0.0,1.0,20,4,2006
1916,1,2,0.0,1.0,1.0,1.0,0.0,1.0,1,11,2007
1920,1,1,0.0,2.0,1.0,1.0,0.0,3.0,12,4,2021
1927,1,2,0.0,2.0,1.0,2.0,0.0,1.0,12,8,2016
1934,1,3,0.0,1.0,3.0,2.0,0.0,2.0,0,3,2010
1935,1,1,0.0,2.0,1.0,3.0,0.0,1.0,2,3,2017
1950,1,1,0.0,1.0,1.0,2.0,0.0,1.0,21,2,2021
1956,1,1,0.0,2.0,1.0,2.0,0.0,3.0,20,3,2006
1957,1,4,0.0,2.0,1.0,2.0,0.0,1.0,4,10,2017
1967,1,2,0.0,1.0,3.0,1.0,0.0,3.0,0,8,2013
1971,1,2,0.0,1.0,3.0,2.0,0.0,1.0,21,12,2013
1972,1,1,0.0,2.0,1.0,2.0,0.0,1.0,14,10,2009
1980,1,2,0.0,1.0,1.0,2.0,0.0,1.0,15,2,2020
1985,1,3,0.0,2.0,1.0,2.0,0.0,1.0,0,1,2011
1987,1,2,0.0,2.0,2.0,2.0,0.0,3.0,14,4,2009
1995,1,2,0.0,0.0,1.0,2.0,0.0,1.0,1,4,2015
2003,1,0,0.0,2.0,1.0,2.0,1.0,1.0,13,6,2009
2006,1,0,0.0,0.0,4.0,1.0,0.0,1.0,17,12,2014
2012,1,2,0.0,1.0,1.0,1.0,0.0,1.0,23,9,2006
2018,1,2,0.0,0.0,1.0,1.0,0.0,1.0,4,9,2017
2019,1,2,0.0,1.0,1.0,1.0,0.0,1.0,20,1,2019
2021,1,2,0.0,2.0,1.0,2.0,0.0,1.0,16,8,2006
2025,1,1,0.0,2.0,2.0,1.0,0.0,2.0,16,6,2018
2030,1,0,0.0,2.0,1.0,2.0,0.0,0.0,22,9,2009
2040,1,1,0.0,1.0,1.0,1.0,0.0,1.0,0,6,2009
2059,1,1,0.0,2.0,1.0,2.0,0.0,2.0,1,1,2006
2070,1,1,0.0,1.0,2.0,3.0,0.0,2.0,21,1,2018
2071,1,1,1.0,1.0,1.0,1.0,1.0,2.0,22,3,2021
2092,1,2,0.0,2.0,1.0,2.0,1.0,1.0,6,10,2019
2109,1,2,0.0,1.0,1.0,1.0,0.0,1.0,22,10,2017
2134,1,1,0.0,1.0,3.0,1.0,1.0,2.0,3,8,2011
2149,1,3,0.0,2.0,1.0,1.0,1.0,2.0,0,6,2020
2157,1,0,0.0,2.0,0.0,2.0,0.0,0.0,18,11,2016
2165,1,2,0.0,2.0,1.0,0.0,0.0,1.0,19,1,2007
2177,1,2,0.0,2.0,1.0,0.0,0.0,1.0,22,8,2006
2180,1,3,0.0,1.0,1.0,2.0,0.0,1.0,23,4,2007
2189,1,2,0.0,1.0,1.0,2.0,0.0,1.0,17,12,2007
2205,1,1,0.0,2.0,2.0,2.0,1.0,2.0,15,9,2009
2222,1,1,0.0,2.0,2.0,0.0,0.0,3.0,23,1,2010
2233,1,2,0.0,1.0,1.0,1.0,0.0,1.0,1,12,2009
2234,1,2,0.0,0.0,1.0,1.0,0.0,1.0,22,8,2006
2239,1,2,0.0,1.0,1.0,1.0,0.0,1.0,17,9,2007
2244,1,1,0.0,1.0,1.0,2.0,0.0,1.0,2,1,2015
2267,1,1,0.0,2.0,1.0,2.0,0.0,1.0,14,4,2019
2276,1,3,0.0,2.0,1.0,3.0,1.0,1.0,23,8,2016
2277,1,0,0.0,1.0,1.0,1.0,0.0,1.0,1,7,2011
2279,1,1,0.0,1.0,2.0,1.0,0.0,1.0,13,1,2007
2297,1,2,0.0,2.0,3.0,2.0,0.0,2.0,5,9,2021
2323,1,3,0.0,2.0,1.0,0.0,0.0,1.0,15,1,2009
2329,1,0,0.0,2.0,3.0,3.0,0.0,2.0,7,1,2016
2346,1,1,0.0,0.0,1.0,2.0,0.0,1.0,2,7,2006
2351,1,2,0.0,1.0,1.0,2.0,0.0,1.0,22,4,2018
2354,1,1,0.0,2.0,1.0,2.0,0.0,1.0,6,4,2006
2358,1,1,0.0,2.0,3.0,2.0,0.0,2.0,2,3,2016
2362,1,1,0.0,1.0,1.0,1.0,0.0,1.0,22,8,2012
2366,1,1,0.0,1.0,3.0,1.0,0.0,2.0,13,8,2021
2385,1,1,0.0,2.0,1.0,2.0,0.0,1.0,1,2,2006
2409,1,2,0.0,2.0,1.0,1.0,0.0,3.0,13,4,2015
2414,1,0,0.0,2.0,2.0,2.0,0.0,2.0,17,8,2021
2416,1,1,0.0,2.0,1.0,2.0,0.0,2.0,3,1,2019
2419,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1,8,2021
2421,1,3,0.0,2.0,1.0,2.0,0.0,1.0,20,10,2015
2424,1,2,0.0,3.0,0.0,3.0,0.0,0.0,20,8,2012
2428,1,2,0.0,3.0,1.0,2.0,1.0,1.0,23,9,2019
2458,1,2,0.0,2.0,1.0,2.0,0.0,1.0,5,8,2006
2466,1,0,1.0,1.0,2.0,2.0,0.0,2.0,0,3,2010
2490,1,0,0.0,2.0,2.0,1.0,0.0,3.0,4,3,2013
2495,1,0,0.0,2.0,1.0,2.0,0.0,1.0,5,4,2016
2498,1,0,1.0,1.0,2.0,2.0,1.0,2.0,3,10,2007
2500,1,4,0.0,3.0,3.0,1.0,0.0,1.0,16,11,2021
2511,1,3,1.0,2.0,1.0,2.0,0.0,1.0,7,6,2008
2512,1,3,0.0,0.0,1.0,1.0,0.0,2.0,3,7,2010
2521,1,3,0.0,2.0,1.0,2.0,0.0,2.0,4,11,2006
2522,1,1,0.0,0.0,1.0,1.0,0.0,1.0,12,4,2018
2529,1,2,0.0,1.0,1.0,2.0,0.0,1.0,4,6,2019
2545,1,1,0.0,2.0,1.0,1.0,0.0,1.0,5,4,2019
2559,1,3,0.0,0.0,1.0,1.0,0.0,2.0,19,3,2007
2596,1,2,0.0,2.0,1.0,2.0,0.0,1.0,0,9,2015
2634,1,2,0.0,2.0,0.0,1.0,0.0,0.0,0,11,2013
2644,1,0,0.0,2.0,1.0,2.0,0.0,1.0,17,4,2015
2679,1,1,0.0,2.0,1.0,1.0,0.0,2.0,23,8,2008
2692,1,1,0.0,3.0,3.0,3.0,0.0,3.0,12,11,2014
2700,1,0,0.0,2.0,1.0,2.0,0.0,1.0,10,5,2009
2706,1,1,0.0,1.0,3.0,1.0,0.0,1.0,3,9,2007
2707,1,0,0.0,1.0,1.0,3.0,0.0,2.0,11,7,2020
2712,1,2,0.0,2.0,1.0,1.0,0.0,1.0,17,4,2007
2714,1,1,0.0,2.0,1.0,2.0,0.0,1.0,18,10,2020
2726,1,3,0.0,3.0,2.0,3.0,1.0,0.0,17,2,2009
2732,1,2,0.0,1.0,1.0,1.0,0.0,1.0,13,4,2006
2733,1,1,0.0,0.0,1.0,2.0,0.0,1.0,19,9,2008
2741,1,2,0.0,1.0,1.0,2.0,0.0,1.0,5,9,2009
2753,1,3,0.0,1.0,1.0,0.0,0.0,1.0,22,6,2015
2765,1,1,0.0,2.0,1.0,2.0,0.0,3.0,22,10,2020
2768,1,1,0.0,2.0,1.0,2.0,0.0,1.0,2,8,2019
2770,1,1,0.0,2.0,1.0,1.0,1.0,1.0,4,8,2018
2774,1,2,0.0,2.0,1.0,2.0,0.0,1.0,14,11,2019
2790,1,2,0.0,1.0,2.0,3.0,0.0,1.0,7,10,2015
2800,1,0,0.0,2.0,0.0,2.0,1.0,0.0,20,7,2018
2801,1,2,0.0,3.0,1.0,0.0,1.0,1.0,23,4,2021
2813,1,1,0.0,2.0,1.0,2.0,0.0,0.0,0,9,2019
2826,1,2,0.0,2.0,3.0,1.0,0.0,1.0,1,11,2007
